epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,127378,1.25491,0.85291,1.03073,0.60007,0.50006,0.52591,0.32772,1.23517,0.86769,1.02826,0.00510657,0.00510657,0.00510657
175,128116,1.25754,0.85071,1.02884,0.60026,0.50026,0.52611,0.32793,1.23506,0.86731,1.02818,0.00507829,0.00507829,0.00507829
176,128821,1.25109,0.84934,1.03381,0.60148,0.49971,0.52626,0.3281,1.23491,0.86706,1.0281,0.00505,0.00505,0.00505
177,129530,1.25481,0.85145,1.02922,0.60305,0.4982,0.52626,0.32806,1.23491,0.86683,1.02809,0.00502171,0.00502171,0.00502171
178,130255,1.25199,0.84755,1.02946,0.60265,0.49811,0.52638,0.3282,1.23481,0.8665,1.02807,0.00499343,0.00499343,0.00499343
179,130969,1.25738,0.84918,1.0309,0.60132,0.49969,0.52659,0.32829,1.23471,0.86622,1.02798,0.00496514,0.00496514,0.00496514
180,131687,1.24653,0.84226,1.02917,0.60201,0.49871,0.52678,0.3284,1.23466,0.86597,1.02794,0.00493686,0.00493686,0.00493686
181,132411,1.247,0.84378,1.02673,0.60304,0.49769,0.52681,0.32843,1.23454,0.86572,1.02787,0.00490857,0.00490857,0.00490857
182,133170,1.24728,0.8399,1.02589,0.60352,0.49789,0.52717,0.32856,1.23451,0.86551,1.02781,0.00488029,0.00488029,0.00488029
183,133934,1.24506,0.83837,1.02768,0.60281,0.49877,0.52745,0.32875,1.23446,0.8653,1.02777,0.004852,0.004852,0.004852
